Model;Release date;Max resolution;Low resolution;Effective pixels;Zoom wide (W);Zoom tele (T);Normal focus range;Macro focus range;Storage included;Weight (inc. batteries);Dimensions;Price
STRING;INTEGER;DOUBLE;DOUBLE;DOUBLE;DOUBLE;DOUBLE;DOUBLE;DOUBLE;DOUBLE;DOUBLE;DOUBLE;DOUBLE
Agfa ePhoto 1280;1997;1024.0;640.0;0.0;38.0;114.0;70.0;40.0;4.0;420.0;95.0;179.0
Agfa ePhoto 1680;1998;1280.0;640.0;1.0;38.0;114.0;50.0;0.0;4.0;420.0;158.0;179.0
Agfa ePhoto CL18;2000;640.0;0.0;0.0;45.0;45.0;0.0;0.0;2.0;0.0;0.0;179.0
Agfa ePhoto CL30;1999;1152.0;640.0;0.0;35.0;35.0;0.0;0.0;4.0;0.0;0.0;269.0
Agfa ePhoto CL30 Clik!;1999;1152.0;640.0;0.0;43.0;43.0;50.0;0.0;40.0;300.0;128.0;1299.0
Agfa ePhoto CL45;2001;1600.0;640.0;1.0;51.0;51.0;50.0;20.0;8.0;270.0;119.0;179.0
Agfa ePhoto CL50;1999;1280.0;640.0;1.0;34.0;102.0;0.0;0.0;8.0;0.0;0.0;179.0
Canon PowerShot 350;1997;640.0;0.0;0.0;42.0;42.0;70.0;3.0;2.0;320.0;93.0;149.0
Canon PowerShot 600;1996;832.0;640.0;0.0;50.0;50.0;40.0;10.0;1.0;460.0;160.0;139.0
Canon PowerShot A10;2001;1280.0;1024.0;1.0;35.0;105.0;76.0;16.0;8.0;375.0;110.0;139.0
Canon PowerShot A85;2004;2272.0;1600.0;4.0;35.0;105.0;0.0;5.0;32.0;300.0;101.0;139.0
Canon PowerShot A95;2004;2592.0;2048.0;5.0;38.0;114.0;45.0;5.0;32.0;335.0;101.0;139.0
Canon EOS 10D;2003;3072.0;2048.0;6.0;0.0;0.0;0.0;0.0;0.0;875.0;150.0;1299.0
Canon EOS-1D;2001;2464.0;1232.0;4.0;0.0;0.0;0.0;0.0;0.0;1585.0;156.0;4499.0
